EmployeeID,Name,Department,JobTitle,ExperienceYears,PerformanceScore,ProjectsCompleted,MonthlySalary,AttendanceRate (%),LastPromotionYear,Status,Feedback
E0001,Employee_1,R&D,Intern,5,4.37,56,115474,83,2018,Active,Positive attitude towards learning.
E0002,Employee_2,Marketing,Manager,16,2.27,65,27443,96,2015,Active,Shows strong technical skills.
E0003,Employee_3,Sales,Team Lead,19,3.48,23,100993,96,2019,Active,Missed a few important targets.
E0004,Employee_4,R&D,Intern,4,2.17,37,100916,85,2023,Active,Shows strong technical skills.
E0005,Employee_5,Finance,Executive,3,3.65,11,98319,88,2022,Active,Needs improvement in meeting deadlines.
E0006,Employee_6,Sales,Executive,17,3.32,35,42368,78,2023,Active,Missed a few important targets.
E0007,Employee_7,Sales,Executive,17,4.66,23,40328,87,2024,Active,Missed a few important targets.
E0008,Employee_8,R&D,Executive,12,3.05,68,81942,76,2023,Active,Positive attitude towards learning.
E0009,Employee_9,HR,Executive,14,2.35,65,116751,97,2021,Active,Struggles with workload management.
E0010,Employee_10,Finance,Intern,6,2.43,16,52306,79,2018,Active,Missed a few important targets.
E0011,Employee_11,R&D,Intern,3,4.28,12,110451,85,2019,Active,Excellent leadership qualities.
E0012,Employee_12,Finance,Developer,9,3.85,32,64915,80,2015,Active,Missed a few important targets.
E0013,Employee_13,Finance,Analyst,5,2.3,27,62219,92,2015,Active,Struggles with workload management.
E0014,Employee_14,Sales,Coordinator,17,2.25,47,105879,95,2017,Active,Shows strong technical skills.
E0015,Employee_15,Marketing,Executive,14,4.1,24,89644,84,2022,Active,Needs improvement in meeting deadlines.
E0016,Employee_16,Finance,Manager,3,2.22,73,85279,78,2016,Active,Good communication skills.
E0017,Employee_17,Operations,Coordinator,1,4.47,37,78028,83,2018,Active,Great teamwork and consistent performance!
E0018,Employee_18,Sales,Intern,1,4.12,48,25126,80,2016,Active,Positive attitude towards learning.
E0019,Employee_19,HR,Manager,3,2.24,66,77329,76,2019,Active,Excellent leadership qualities.
E0020,Employee_20,Marketing,Manager,18,2.25,26,52632,91,2023,Active,Always helpful and reliable.
E0021,Employee_21,Operations,Manager,10,4.96,53,90310,79,2015,Inactive,Missed a few important targets.
E0022,Employee_22,Operations,Developer,3,3.12,34,80176,99,2019,Inactive,Great teamwork and consistent performance!
E0023,Employee_23,HR,Intern,8,3.11,26,111066,80,2023,Active,Excellent leadership qualities.
E0024,Employee_24,Marketing,Manager,14,4.44,22,69327,86,2015,Active,Average performance this quarter.
E0025,Employee_25,Sales,Executive,18,4.84,34,93904,97,2023,Active,Needs improvement in meeting deadlines.
E0026,Employee_26,IT,Team Lead,15,4.96,77,28797,95,2022,Active,Needs improvement in meeting deadlines.
E0027,Employee_27,Marketing,Manager,2,4.26,19,72882,84,2018,Active,Shows strong technical skills.
E0028,Employee_28,HR,Developer,10,3.13,76,38718,96,2024,Active,Positive attitude towards learning.
E0029,Employee_29,Operations,Coordinator,2,2.25,27,59560,95,2019,Active,Shows strong technical skills.
E0030,Employee_30,Sales,Intern,17,4.33,43,101589,99,2019,Active,Good communication skills.
E0031,Employee_31,Marketing,Developer,8,3.68,17,47116,80,2020,Active,Struggles with workload management.
E0032,Employee_32,IT,Manager,1,3.27,49,61244,82,2021,Active,Needs improvement in meeting deadlines.
E0033,Employee_33,IT,Intern,9,4.72,51,26645,76,2022,Active,Great teamwork and consistent performance!
E0034,Employee_34,Finance,Team Lead,11,2.33,50,72523,86,2022,Active,Good communication skills.
E0035,Employee_35,Finance,Manager,16,3.48,15,44256,87,2016,Active,Always helpful and reliable.
E0036,Employee_36,R&D,Developer,7,2.03,61,78173,99,2023,Inactive,Great teamwork and consistent performance!
E0037,Employee_37,HR,Analyst,10,3.41,35,62430,95,2021,Active,Needs improvement in meeting deadlines.
E0038,Employee_38,Marketing,Executive,3,2.17,73,64282,81,2018,Active,Always helpful and reliable.
E0039,Employee_39,Marketing,Coordinator,18,2.36,68,88374,84,2018,Active,Always helpful and reliable.
E0040,Employee_40,R&D,Developer,13,2.35,65,93244,87,2022,Active,Excellent leadership qualities.
E0041,Employee_41,Operations,Intern,7,3.95,68,36694,91,2018,Inactive,Shows strong technical skills.
E0042,Employee_42,Operations,Manager,4,4.24,79,81264,95,2020,Active,Shows strong technical skills.
E0043,Employee_43,R&D,Executive,13,3.75,42,100060,88,2019,Active,Shows strong technical skills.
E0044,Employee_44,Operations,Manager,1,4.89,62,82545,76,2017,Active,Struggles with workload management.
E0045,Employee_45,Finance,Intern,8,3.12,31,64224,96,2024,Inactive,Average performance this quarter.
E0046,Employee_46,Marketing,Manager,14,2.86,30,38224,85,2016,Inactive,Great teamwork and consistent performance!
E0047,Employee_47,R&D,Analyst,16,4.61,79,65738,75,2023,Active,Shows strong technical skills.
E0048,Employee_48,Marketing,Executive,14,2.67,79,50150,93,2024,Active,Missed a few important targets.
E0049,Employee_49,IT,Executive,12,4.89,13,88731,95,2023,Active,Good communication skills.
E0050,Employee_50,Finance,Intern,19,2.04,71,74688,78,2015,Active,Great teamwork and consistent performance!
E0051,Employee_51,Sales,Coordinator,15,4.91,71,98509,93,2024,Active,Average performance this quarter.
E0052,Employee_52,Finance,Analyst,2,2.13,33,33577,95,2017,Active,Positive attitude towards learning.
E0053,Employee_53,R&D,Developer,2,4.67,64,33070,85,2022,Active,Excellent leadership qualities.
E0054,Employee_54,Sales,Manager,19,3.58,18,33666,82,2020,Active,Excellent leadership qualities.
E0055,Employee_55,IT,Team Lead,17,4.98,12,82761,85,2019,Active,Struggles with workload management.
E0056,Employee_56,R&D,Manager,10,2.22,40,61368,78,2019,Active,Positive attitude towards learning.
E0057,Employee_57,HR,Manager,6,3.66,49,31783,91,2020,Inactive,Good communication skills.
E0058,Employee_58,Marketing,Developer,15,4.91,45,66914,81,2021,Active,Good communication skills.
E0059,Employee_59,IT,Manager,11,3.57,33,95507,82,2015,Active,Average performance this quarter.
E0060,Employee_60,Marketing,Analyst,5,3.89,15,104026,77,2023,Active,Always helpful and reliable.
E0061,Employee_61,Operations,Analyst,1,4.09,75,92526,96,2017,Active,Always helpful and reliable.
E0062,Employee_62,HR,Executive,8,3.36,13,95835,76,2018,Active,Shows strong technical skills.
E0063,Employee_63,HR,Intern,12,3.88,15,70765,97,2024,Active,Positive attitude towards learning.
E0064,Employee_64,IT,Coordinator,12,3.75,60,44956,89,2015,Active,Struggles with workload management.
E0065,Employee_65,HR,Team Lead,5,4.7,71,112895,98,2024,Inactive,Needs improvement in meeting deadlines.
E0066,Employee_66,Sales,Manager,7,2.14,66,71240,96,2017,Active,Excellent leadership qualities.
E0067,Employee_67,HR,Manager,4,2.84,75,62148,96,2016,Active,Good communication skills.
E0068,Employee_68,Marketing,Developer,6,4.85,17,119270,79,2016,Active,Excellent leadership qualities.
E0069,Employee_69,Marketing,Intern,13,4.67,35,29757,98,2015,Active,Always helpful and reliable.
